year,city,country,avg_temp,"MA
10 years",,,year,MA -10,avg_temp,,,,,
1843,Riyadh,Saudi Arabia,24.74,,,,1750,,8.72,,,,correlation=,0.821303093
1844,Riyadh,Saudi Arabia,15.45,,,,1751,,7.98,,,,,
1845,Riyadh,Saudi Arabia,20.82,,,,1752,,5.78,,,,,
1846,Riyadh,Saudi Arabia,24.698,,,,1753,,8.39,,,,,
1847,Riyadh,Saudi Arabia,24.743,,,,1754,,8.47,,,,,
1848,Riyadh,Saudi Arabia,24.56,,,,1755,,8.36,,,,,
1849,Riyadh,Saudi Arabia,24.8,,,,1756,,8.85,,,,,
1850,Riyadh,Saudi Arabia,24.34,,,,1757,,9.02,,,,,
1851,Riyadh,Saudi Arabia,25.03,,,,1758,,6.74,,,,,
1852,Riyadh,Saudi Arabia,24.85,,,,1759,,7.99,,,,,
1853,Riyadh,Saudi Arabia,24.93,23.54190909,,,1760,7.953636364,7.19,,,,,
1854,Riyadh,Saudi Arabia,24.72,23.54009091,,,1761,7.958181818,8.77,,,,,
1855,Riyadh,Saudi Arabia,24.92,24.401,,,1762,8.015454545,8.61,,,,,
1856,Riyadh,Saudi Arabia,24.57,24.74190909,,,1763,8.171818182,7.5,,,,,
1857,Riyadh,Saudi Arabia,24.26,24.70209091,,,1764,8.172727273,8.4,,,,,
1858,Riyadh,Saudi Arabia,25.01,24.72636364,,,1765,8.152727273,8.25,,,,,
1859,Riyadh,Saudi Arabia,24.95,24.76181818,,,1766,8.157272727,8.41,,,,,
1860,Riyadh,Saudi Arabia,24.94,24.77454545,,,1767,8.1,8.22,,,,,
1861,Riyadh,Saudi Arabia,24.13,24.75545455,,,1768,7.896363636,6.78,,,,,
1862,Riyadh,Saudi Arabia,23.77,24.64090909,,,1769,7.982727273,7.69,,,,,
1863,Riyadh,Saudi Arabia,24.28,24.58909091,,,1770,7.955454545,7.69,,,,,
1864,Riyadh,Saudi Arabia,25.03,24.59818182,,,1771,8.015454545,7.85,,,,,
1865,Riyadh,Saudi Arabia,25.23,24.64454545,,,1772,7.962727273,8.19,,,,,
1866,Riyadh,Saudi Arabia,24.92,24.64454545,,,1773,7.927272727,8.22,,,,,
1867,Riyadh,Saudi Arabia,25.22,24.70363636,,,1774,8.042727273,8.77,,,,,
1868,Riyadh,Saudi Arabia,25,24.77090909,,,1775,8.113636364,9.18,,,,,
1869,Riyadh,Saudi Arabia,25.3,24.79727273,,,1776,8.118181818,8.3,,,,,
1870,Riyadh,Saudi Arabia,25.02,24.80363636,,,1777,8.104545455,8.26,,,,,
1871,Riyadh,Saudi Arabia,24.73,24.78454545,,,1778,8.133636364,8.54,,,,,
1872,Riyadh,Saudi Arabia,24.87,24.85181818,,,1779,8.333636364,8.98,,,,,
1873,Riyadh,Saudi Arabia,25.24,24.98545455,,,1780,8.491818182,9.43,,,,,
1874,Riyadh,Saudi Arabia,24.98,25.04909091,,,1781,8.529090909,8.1,,,,,
1875,Riyadh,Saudi Arabia,24.43,24.99454545,,,1782,8.533636364,7.9,,,,,
1876,Riyadh,Saudi Arabia,24.89,24.96363636,,,1783,8.487272727,7.68,,,,,
1877,Riyadh,Saudi Arabia,25.47,25.01363636,,,1784,8.454545455,7.86,,,,,
1878,Riyadh,Saudi Arabia,25.51,25.04,,,1785,8.326363636,7.36,,,,,
1879,Riyadh,Saudi Arabia,25.24,25.06181818,,,1786,8.242727273,8.26,,,,,
1880,Riyadh,Saudi Arabia,24.8,25.01636364,,,1787,8.218181818,8.03,,,,,
1881,Riyadh,Saudi Arabia,25.63,25.07181818,,,1788,8.235454545,8.45,,,,,
1882,Riyadh,Saudi Arabia,24.66,25.06545455,,,1789,8.216363636,8.33,,,,,
1883,Riyadh,Saudi Arabia,25.19,25.09454545,,,1790,8.125454545,7.98,,,,,
1884,Riyadh,Saudi Arabia,24.8,25.05454545,,,1791,8.016363636,8.23,,,,,
1885,Riyadh,Saudi Arabia,24.98,25.05454545,,,1792,8.015454545,8.09,,,,,
1886,Riyadh,Saudi Arabia,24.98,25.10454545,,,1793,8.045454545,8.23,,,,,
1887,Riyadh,Saudi Arabia,24.81,25.09727273,,,1794,8.122727273,8.53,,,,,
1888,Riyadh,Saudi Arabia,25.13,25.06636364,,,1795,8.167272727,8.35,,,,,
1889,Riyadh,Saudi Arabia,25.52,25.06727273,,,1796,8.25,8.27,,,,,
1890,Riyadh,Saudi Arabia,25.07,25.05181818,,,1797,8.272727273,8.51,,,,,
1891,Riyadh,Saudi Arabia,25.39,25.10545455,,,1798,8.330909091,8.67,,,,,
1892,Riyadh,Saudi Arabia,25.22,25.06818182,,,1799,8.336363636,8.51,,,,,
1893,Riyadh,Saudi Arabia,25.19,25.11636364,,,1800,8.35,8.48,,,,,
1894,Riyadh,Saudi Arabia,24.66,25.06818182,,,1801,8.405454545,8.59,,,,,
1895,Riyadh,Saudi Arabia,24.69,25.05818182,,,1802,8.437272727,8.58,,,,,
1896,Riyadh,Saudi Arabia,24.88,25.04909091,,,1803,8.474545455,8.5,,,,,
1897,Riyadh,Saudi Arabia,24.86,25.03818182,,,1804,8.53,8.84,,,,,
1898,Riyadh,Saudi Arabia,24.88,25.04454545,,,1805,8.532727273,8.56,,,,,
1899,Riyadh,Saudi Arabia,25.12,25.04363636,,,1806,8.54,8.43,,,,,
1900,Riyadh,Saudi Arabia,25.29,25.02272727,,,1807,8.540909091,8.28,,,,,
1901,Riyadh,Saudi Arabia,25.55,25.06636364,,,1808,8.460909091,7.63,,,,,
1902,Riyadh,Saudi Arabia,25.25,25.05363636,,,1809,8.316363636,7.08,,,,,
1903,Riyadh,Saudi Arabia,24.64,25.00090909,,,1810,8.171818182,6.92,,,,,
1904,Riyadh,Saudi Arabia,25.07,24.99,,,1811,8.024545455,6.86,,,,,
1905,Riyadh,Saudi Arabia,24.87,25.00909091,,,1812,7.884545455,7.05,,,,,
1906,Riyadh,Saudi Arabia,24.85,25.02363636,,,1813,7.808181818,7.74,,,,,
1907,Riyadh,Saudi Arabia,24.44,24.98363636,,,1814,7.725454545,7.59,,,,,
1908,Riyadh,Saudi Arabia,24.95,24.99181818,,,1815,7.58,7.24,,,,,
1909,Riyadh,Saudi Arabia,25.57,25.05454545,,,1816,7.432727273,6.94,,,,,
1910,Riyadh,Saudi Arabia,24.75,25.02090909,,,1817,7.300909091,6.98,,,,,
1911,Riyadh,Saudi Arabia,24.24,24.92545455,,,1818,7.26,7.83,,,,,
1912,Riyadh,Saudi Arabia,24.96,24.87181818,,,1819,7.236363636,7.37,,,,,
1913,Riyadh,Saudi Arabia,24.63,24.81545455,,,1820,7.285454545,7.62,,,,,
1914,Riyadh,Saudi Arabia,24.94,24.84272727,,,1821,7.391818182,8.09,,,,,
1915,Riyadh,Saudi Arabia,25.38,24.87090909,,,1822,7.512727273,8.19,,,,,
1916,Riyadh,Saudi Arabia,24.85,24.86909091,,,1823,7.573636364,7.72,,,,,
1917,Riyadh,Saudi Arabia,25.03,24.88545455,,,1824,7.647272727,8.55,,,,,
1918,Riyadh,Saudi Arabia,24.66,24.90545455,,,1825,7.72,8.39,,,,,
1919,Riyadh,Saudi Arabia,25.39,24.94545455,,,1826,7.821818182,8.36,,,,,
1920,Riyadh,Saudi Arabia,24.94,24.88818182,,,1827,7.991818182,8.81,,,,,
1921,Riyadh,Saudi Arabia,24.84,24.89636364,,,1828,8.1,8.17,,,,,
1922,Riyadh,Saudi Arabia,25.35,24.99727273,,,1829,8.11,7.94,,,,,
1923,Riyadh,Saudi Arabia,25.1,25.01,,,1830,8.214545455,8.52,,,,,
1924,Riyadh,Saudi Arabia,25.69,25.10636364,,,1831,8.216363636,7.64,,,,,
1925,Riyadh,Saudi Arabia,25,25.11181818,,,1832,8.158181818,7.45,,,,,
1926,Riyadh,Saudi Arabia,25.19,25.09454545,,,1833,8.141818182,8.01,,,,,
1927,Riyadh,Saudi Arabia,25.29,25.13454545,,,1834,8.180909091,8.15,,,,,
1928,Riyadh,Saudi Arabia,25.39,25.16727273,,,1835,8.075454545,7.39,,,,,
1929,Riyadh,Saudi Arabia,25.36,25.23090909,,,1836,8.012727273,7.7,,,,,
1930,Riyadh,Saudi Arabia,25.39,25.23090909,,,1837,7.923636364,7.38,,,,,
1931,Riyadh,Saudi Arabia,25.38,25.27090909,,,1838,7.805454545,7.51,,,,,
1932,Riyadh,Saudi Arabia,24.96,25.28181818,,,1839,7.756363636,7.63,,,,,
1933,Riyadh,Saudi Arabia,24.67,25.22,,,1840,7.743636364,7.8,,,,,
1934,Riyadh,Saudi Arabia,24.97,25.20818182,,,1841,7.668181818,7.69,,,,,
1935,Riyadh,Saudi Arabia,25.61,25.20090909,,,1842,7.702727273,8.02,,,,,
1936,Riyadh,Saudi Arabia,25.15,25.21454545,,,1843,7.768181818,8.17,,,,,
1937,Riyadh,Saudi Arabia,25.08,25.20454545,,,1844,7.735454545,7.65,,,,,
1938,Riyadh,Saudi Arabia,25.11,25.18818182,,,1845,7.708181818,7.85,,,,,
1939,Riyadh,Saudi Arabia,25.16,25.16727273,,,1846,7.813636364,8.55,,,,,
1940,Riyadh,Saudi Arabia,25.51,25.18090909,,,1847,7.849090909,8.09,,,,,
1941,Riyadh,Saudi Arabia,25.37,25.17909091,,,1848,7.903636364,7.98,,,,,
1942,Riyadh,Saudi Arabia,25.49,25.18909091,,,1849,7.946363636,7.98,,,,,
1943,Riyadh,Saudi Arabia,24.96,25.18909091,,,1850,7.970909091,7.9,,,,,
1944,Riyadh,Saudi Arabia,25.6,25.27363636,,,1851,8.005454545,8.18,,,,,
1945,Riyadh,Saudi Arabia,25.3,25.30363636,,,1852,8.042727273,8.1,,,,,
1946,Riyadh,Saudi Arabia,25.49,25.29272727,,,1853,8.044545455,8.04,,,,,
1947,Riyadh,Saudi Arabia,26,25.37,,,1854,8.048181818,8.21,,,,,
1948,Riyadh,Saudi Arabia,24.85,25.34909091,,,1855,8.09,8.11,,,,,
1949,Riyadh,Saudi Arabia,24.82,25.32272727,,,1856,8.103636364,8,,,,,
1950,Riyadh,Saudi Arabia,24.98,25.30636364,,,1857,8.031818182,7.76,,,,,
1951,Riyadh,Saudi Arabia,26.1,25.36,,,1858,8.032727273,8.1,,,,,
1952,Riyadh,Saudi Arabia,25.72,25.39181818,,,1859,8.057272727,8.25,,,,,
1953,Riyadh,Saudi Arabia,25.51,25.39363636,,,1860,8.055454545,7.96,,,,,
1954,Riyadh,Saudi Arabia,25.8,25.47,,,1861,8.050909091,7.85,,,,,
1955,Riyadh,Saudi Arabia,25.33,25.44545455,,,1862,7.994545455,7.56,,,,,
1956,Riyadh,Saudi Arabia,25.02,25.42,,,1863,7.995454545,8.11,,,,,
1957,Riyadh,Saudi Arabia,24.69,25.34727273,,,1864,7.99,7.98,,,,,
1958,Riyadh,Saudi Arabia,25.64,25.31454545,,,1865,7.987272727,8.18,,,,,
1959,Riyadh,Saudi Arabia,24.14,25.25,,,1866,8.003636364,8.29,,,,,
1960,Riyadh,Saudi Arabia,25.67,25.32727273,,,1867,8.043636364,8.44,,,,,
1961,Riyadh,Saudi Arabia,25.12,25.34,,,1868,8.088181818,8.25,,,,,
1962,Riyadh,Saudi Arabia,26.1,25.34,,,1869,8.118181818,8.43,,,,,
1963,Riyadh,Saudi Arabia,25.54,25.32363636,,,1870,8.113636364,8.2,,,,,
1964,Riyadh,Saudi Arabia,25.14,25.29,,,1871,8.128181818,8.12,,,,,
1965,Riyadh,Saudi Arabia,25.59,25.27090909,,,1872,8.159090909,8.19,,,,,
1966,Riyadh,Saudi Arabia,26.16,25.34636364,,,1873,8.230909091,8.35,,,,,
1967,Riyadh,Saudi Arabia,24.87,25.33272727,,,1874,8.26,8.43,,,,,
1968,Riyadh,Saudi Arabia,25.21,25.38,,,1875,8.249090909,7.86,,,,,
1969,Riyadh,Saudi Arabia,26.05,25.41727273,,,1876,8.24,8.08,,,,,
1970,Riyadh,Saudi Arabia,25.84,25.57181818,,,1877,8.262727273,8.54,,,,,
1971,Riyadh,Saudi Arabia,24.93,25.50454545,,,1878,8.298181818,8.83,,,,,
1972,Riyadh,Saudi Arabia,24.74,25.47,,,1879,8.290909091,8.17,,,,,
1973,Riyadh,Saudi Arabia,25.6,25.42454545,,,1880,8.262727273,8.12,,,,,
1974,Riyadh,Saudi Arabia,25.4,25.41181818,,,1881,8.269090909,8.27,,,,,
1975,Riyadh,Saudi Arabia,25.04,25.40272727,,,1882,8.27,8.13,,,,,
1976,Riyadh,Saudi Arabia,24.97,25.34636364,,,1883,8.250909091,7.98,,,,,
1977,Riyadh,Saudi Arabia,25.99,25.33090909,,,1884,8.198181818,7.77,,,,,
1978,Riyadh,Saudi Arabia,25.95,25.42909091,,,1885,8.151818182,7.92,,,,,
1979,Riyadh,Saudi Arabia,26.2,25.51909091,,,1886,8.16,7.95,,,,,
1980,Riyadh,Saudi Arabia,25.83,25.49909091,,,1887,8.144545455,7.91,,,,,
1981,Riyadh,Saudi Arabia,25.95,25.50909091,,,1888,8.103636364,8.09,,,,,
1982,Riyadh,Saudi Arabia,24.62,25.48090909,,,1889,8.057272727,8.32,,,,,
1983,Riyadh,Saudi Arabia,24.85,25.49090909,,,1890,8.039090909,7.97,,,,,
1984,Riyadh,Saudi Arabia,25.05,25.44090909,,,1891,8.03,8.02,,,,,
1985,Riyadh,Saudi Arabia,25.3,25.43181818,,,1892,8.011818182,8.07,,,,,
1986,Riyadh,Saudi Arabia,25.36,25.46090909,,,1893,8.005454545,8.06,,,,,
1987,Riyadh,Saudi Arabia,26.37,25.58818182,,,1894,8.021818182,8.16,,,,,
1988,Riyadh,Saudi Arabia,25.99,25.58818182,,,1895,8.056363636,8.15,,,,,
1989,Riyadh,Saudi Arabia,25.05,25.50636364,,,1896,8.082727273,8.21,,,,,
1990,Riyadh,Saudi Arabia,25.7,25.46090909,,,1897,8.113636364,8.29,,,,,
1991,Riyadh,Saudi Arabia,25.43,25.42454545,,,1898,8.138181818,8.18,,,,,
1992,Riyadh,Saudi Arabia,24.37,25.28090909,,,1899,8.166363636,8.4,,,,,
1993,Riyadh,Saudi Arabia,25.42,25.35363636,,,1900,8.182727273,8.5,,,,,
1994,Riyadh,Saudi Arabia,26.08,25.46545455,,,1901,8.234545455,8.54,,,,,
1995,Riyadh,Saudi Arabia,25.64,25.51909091,,,1902,8.26,8.3,,,,,
1996,Riyadh,Saudi Arabia,26.28,25.60818182,,,1903,8.273636364,8.22,,,,,
1997,Riyadh,Saudi Arabia,25.49,25.62,,,1904,8.276363636,8.09,,,,,
1998,Riyadh,Saudi Arabia,26.73,25.65272727,,,1905,8.282727273,8.23,,,,,
1999,Riyadh,Saudi Arabia,26.92,25.73727273,,,1906,8.303636364,8.38,,,,,
2000,Riyadh,Saudi Arabia,26.55,25.87363636,,,1907,8.28,7.95,,,,,
2001,Riyadh,Saudi Arabia,26.67,25.96181818,,,1908,8.270909091,8.19,,,,,
2002,Riyadh,Saudi Arabia,26.44,26.05363636,,,1909,8.270909091,8.18,,,,,
2003,Riyadh,Saudi Arabia,26.62,26.25818182,,,1910,8.254545455,8.22,,,,,
2004,Riyadh,Saudi Arabia,26.2,26.32909091,,,1911,8.225454545,8.18,,,,,
2005,Riyadh,Saudi Arabia,26.27,26.34636364,,,1912,8.191818182,8.17,,,,,
2006,Riyadh,Saudi Arabia,26.24,26.40090909,,,1913,8.191818182,8.3,,,,,
2007,Riyadh,Saudi Arabia,26.49,26.42,,,1914,8.225454545,8.59,,,,,
2008,Riyadh,Saudi Arabia,26.21,26.48545455,,,1915,8.270909091,8.59,,,,,
2009,Riyadh,Saudi Arabia,26.71,26.48363636,,,1916,8.270909091,8.23,,,,,
2010,Riyadh,Saudi Arabia,27.37,26.52454545,,,1917,8.238181818,8.02,,,,,
2011,Riyadh,Saudi Arabia,26.4,26.51090909,,,1918,8.254545455,8.13,,,,,
2012,Riyadh,Saudi Arabia,26.83,26.52545455,,,1919,8.271818182,8.38,,,,,
2013,Riyadh,Saudi Arabia,27.78,26.64727273,,,1920,8.288181818,8.36,,,,,
,,,,,,,1921,8.32,8.57,,,,,
,,,,,,,1922,8.340909091,8.41,,,,,
,,,,,,,1923,8.363636364,8.42,,,,,
,,,,,,,1924,8.382727273,8.51,,,,,
,,,,,,,1925,8.377272727,8.53,,,,,
,,,,,,,1926,8.39,8.73,,,,,
,,,,,,,1927,8.416363636,8.52,,,,,
,,,,,,,1928,8.471818182,8.63,,,,,
,,,,,,,1929,8.481818182,8.24,,,,,
,,,,,,,1930,8.504545455,8.63,,,,,
,,,,,,,1931,8.537272727,8.72,,,,,
,,,,,,,1932,8.55,8.71,,,,,
,,,,,,,1933,8.543636364,8.34,,,,,
,,,,,,,1934,8.562727273,8.63,,,,,
,,,,,,,1935,8.563636364,8.52,,,,,
,,,,,,,1936,8.565454545,8.55,,,,,
,,,,,,,1937,8.562727273,8.7,,,,,
,,,,,,,1938,8.593636364,8.86,,,,,
,,,,,,,1939,8.605454545,8.76,,,,,
,,,,,,,1940,8.652727273,8.76,,,,,
,,,,,,,1941,8.665454545,8.77,,,,,
,,,,,,,1942,8.666363636,8.73,,,,,
,,,,,,,1943,8.670909091,8.76,,,,,
,,,,,,,1944,8.717272727,8.85,,,,,
,,,,,,,1945,8.712727273,8.58,,,,,
,,,,,,,1946,8.727272727,8.68,,,,,
,,,,,,,1947,8.75,8.8,,,,,
,,,,,,,1948,8.754545455,8.75,,,,,
,,,,,,,1949,8.73,8.59,,,,,
,,,,,,,1950,8.694545455,8.37,,,,,
,,,,,,,1951,8.682727273,8.63,,,,,
,,,,,,,1952,8.670909091,8.64,,,,,
,,,,,,,1953,8.683636364,8.87,,,,,
,,,,,,,1954,8.665454545,8.56,,,,,
,,,,,,,1955,8.645454545,8.63,,,,,
,,,,,,,1956,8.618181818,8.28,,,,,
,,,,,,,1957,8.622727273,8.73,,,,,
,,,,,,,1958,8.62,8.77,,,,,
,,,,,,,1959,8.618181818,8.73,,,,,
,,,,,,,1960,8.617272727,8.58,,,,,
,,,,,,,1961,8.656363636,8.8,,,,,
,,,,,,,1962,8.667272727,8.75,,,,,
,,,,,,,1963,8.687272727,8.86,,,,,
,,,,,,,1964,8.645454545,8.41,,,,,
,,,,,,,1965,8.642727273,8.53,,,,,
,,,,,,,1966,8.64,8.6,,,,,
,,,,,,,1967,8.678181818,8.7,,,,,
,,,,,,,1968,8.659090909,8.52,,,,,
,,,,,,,1969,8.643636364,8.6,,,,,
,,,,,,,1970,8.640909091,8.7,,,,,
,,,,,,,1971,8.642727273,8.6,,,,,
,,,,,,,1972,8.615454545,8.5,,,,,
,,,,,,,1973,8.633636364,8.95,,,,,
,,,,,,,1974,8.598181818,8.47,,,,,
,,,,,,,1975,8.628181818,8.74,,,,,
,,,,,,,1976,8.611818182,8.35,,,,,
,,,,,,,1977,8.634545455,8.85,,,,,
,,,,,,,1978,8.633636364,8.69,,,,,
,,,,,,,1979,8.652727273,8.73,,,,,
,,,,,,,1980,8.687272727,8.98,,,,,
,,,,,,,1981,8.73,9.17,,,,,
,,,,,,,1982,8.733636364,8.64,,,,,
,,,,,,,1983,8.781818182,9.03,,,,,
,,,,,,,1984,8.758181818,8.69,,,,,
,,,,,,,1985,8.775454545,8.66,,,,,
,,,,,,,1986,8.783636364,8.83,,,,,
,,,,,,,1987,8.841818182,8.99,,,,,
,,,,,,,1988,8.873636364,9.2,,,,,
,,,,,,,1989,8.894545455,8.92,,,,,
,,,,,,,1990,8.94,9.23,,,,,
,,,,,,,1991,8.958181818,9.18,,,,,
,,,,,,,1992,8.928181818,8.84,,,,,
,,,,,,,1993,8.949090909,8.87,,,,,
,,,,,,,1994,8.95,9.04,,,,,
,,,,,,,1995,9.01,9.35,,,,,
,,,,,,,1996,9.044545455,9.04,,,,,
,,,,,,,1997,9.078181818,9.2,,,,,
,,,,,,,1998,9.126363636,9.52,,,,,
,,,,,,,1999,9.134545455,9.29,,,,,
,,,,,,,2000,9.16,9.2,,,,,
,,,,,,,2001,9.176363636,9.41,,,,,
,,,,,,,2002,9.211818182,9.57,,,,,
,,,,,,,2003,9.274545455,9.53,,,,,
,,,,,,,2004,9.315454545,9.32,,,,,
,,,,,,,2005,9.375454545,9.7,,,,,
,,,,,,,2006,9.391818182,9.53,,,,,
,,,,,,,2007,9.454545455,9.73,,,,,
,,,,,,,2008,9.475454545,9.43,,,,,
,,,,,,,2009,9.474545455,9.51,,,,,
,,,,,,,2010,9.511818182,9.7,,,,,
,,,,,,,2011,9.540909091,9.52,,,,,
,,,,,,,2012,9.55,9.51,,,,,
,,,,,,,2013,9.553636364,9.61,,,,,
,,,,,,,2014,9.557272727,9.57,,,,,
,,,,,,,2015,9.603636364,9.83,,,,,
